Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	750
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.10
Upper Discriminator:	2874
Lower Discriminator:	29
Calibration Coefficients:	-1.2058662903587866E-4	2.879613684275474	-10.609141850512888
Calibration Channels:	418	475	907
Calibration Energies:	1172.0	1330.0	2502.0
Elapsed Real Time:	61003.01
Elapsed Live Time:	60983.58
Start Time:	March 20, 2024, 04:10:26
End Time:	March 21, 2024, 09:07:10
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
285	800.286109224558	490
286	803.0968679436539	491
287	805.9073854894918	492
288	808.7176618620717	503
289	811.5276970613936	514
290	814.3374910874572	490
291	817.1470439402628	510
292	819.9563556198104	468
293	822.7654261260999	484
294	825.5742554591312	481
295	828.3828436189046	480
296	831.1911906054199	467
297	833.9992964186771	482
298	836.8071610586762	473
299	839.6147845254172	490
300	842.4221668189002	523
301	845.2293079391252	509
302	848.036207886092	480
303	850.8428666598008	466
304	853.6492842602515	487
305	856.4554606874441	465
306	859.2613959413786	458
307	862.0670900220551	466
308	864.8725429294736	468
309	867.6777546636339	502
310	870.4827252245361	433
311	873.2874546121803	487
312	876.0919428265664	503
313	878.8961898676946	472
314	881.7001957355645	451
315	884.5039604301764	489
316	887.3074839515302	504
317	890.110766299626	490
318	892.9138074744636	490
319	895.7166074760434	491
320	898.519166304365	471
321	901.3214839594283	446
322	904.1235604412337	492
323	906.925395749781	453
324	909.7269898850703	466
325	912.5283428471016	449
326	915.3294546358746	464
327	918.1303252513896	490
328	920.9309546936466	458
329	923.7313429626455	452
330	926.5314900583863	463
331	929.3313959808692	464
332	932.1310607300938	469
333	934.9304843060604	468
334	937.729666708769	437
335	940.5286079382195	449
336	943.3273079944119	466
337	946.1257668773462	421
338	948.9239845870225	412
339	951.7219611234407	411
340	954.5196964866008	460
341	957.3171906765027	406
342	960.1144436931467	430
343	962.9114555365327	424
344	965.7082262066605	427
345	968.5047557035302	435
346	971.3010440271419	397
347	974.0970911774955	390
348	976.892897154591	416
349	979.6884619584285	393
350	982.483785589008	379
351	985.2788680463292	337
