Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	750
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.10
Upper Discriminator:	2874
Lower Discriminator:	29
Calibration Coefficients:	-1.2058662903587866E-4	2.879613684275474	-10.609141850512888
Calibration Channels:	418	475	907
Calibration Energies:	1172.0	1330.0	2502.0
Elapsed Real Time:	596.84
Elapsed Live Time:	586.76
Start Time:	March 18, 2024, 03:18:53
End Time:	March 18, 2024, 03:28:50
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	565	732	8684	-1229	5	1781

Channel Data:
Channel	Energy	Counts
280	786.2286980302069	1632
281	789.0406626155933	1612
282	791.8523860277215	1632
283	794.6638682665919	1733
284	797.4751093322039	1749
285	800.286109224558	1789
286	803.0968679436539	1682
287	805.9073854894918	1767
288	808.7176618620717	1741
289	811.5276970613936	1713
290	814.3374910874572	1736
291	817.1470439402628	1728
292	819.9563556198104	1780
293	822.7654261260999	1737
294	825.5742554591312	1699
295	828.3828436189046	1763
296	831.1911906054199	1832
297	833.9992964186771	1715
298	836.8071610586762	1780
299	839.6147845254172	1808
300	842.4221668189002	1824
301	845.2293079391252	1756
302	848.036207886092	1780
303	850.8428666598008	1920
304	853.6492842602515	1772
305	856.4554606874441	1815
306	859.2613959413786	1841
307	862.0670900220551	1831
308	864.8725429294736	1837
309	867.6777546636339	1816
310	870.4827252245361	1883
311	873.2874546121803	1861
312	876.0919428265664	1834
313	878.8961898676946	1944
314	881.7001957355645	1881
315	884.5039604301764	1806
316	887.3074839515302	1872
317	890.110766299626	1843
318	892.9138074744636	1871
319	895.7166074760434	1914
320	898.519166304365	1894
321	901.3214839594283	1906
322	904.1235604412337	1908
323	906.925395749781	1886
324	909.7269898850703	1840
325	912.5283428471016	1885
326	915.3294546358746	1832
327	918.1303252513896	1866
328	920.9309546936466	1816
329	923.7313429626455	1764
330	926.5314900583863	1833
331	929.3313959808692	1656
332	932.1310607300938	1709
333	934.9304843060604	1774
334	937.729666708769	1653
335	940.5286079382195	1609
336	943.3273079944119	1682
337	946.1257668773462	1536
338	948.9239845870225	1521
339	951.7219611234407	1540
340	954.5196964866008	1514
