Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	MCS Internal
High Voltage:	750
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.72
Upper Discriminator:	729
Lower Discriminator:	562
Calibration Coefficients:	0.7519999999999989	1.008
Calibration Channels:	0	0
Calibration Energies:	0.0	0.0
Elapsed Real Time:	0.0
Elapsed Live Time:	0.0
Start Time:	March 18, 2024, 09:48:22
End Time:	March 18, 2024, 10:05:26
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	561	728	45926	-3383	2	633

Channel Data:
Channel	Energy	Counts
570	570.0	375
571	571.0	394
572	572.0	364
573	573.0	381
574	574.0	379
575	575.0	356
576	576.0	350
577	577.0	348
578	578.0	342
579	579.0	349
580	580.0	358
581	581.0	394
582	582.0	340
583	583.0	355
584	584.0	329
585	585.0	351
586	586.0	344
587	587.0	369
588	588.0	341
589	589.0	336
590	590.0	314
591	591.0	346
592	592.0	336
593	593.0	338
594	594.0	315
595	595.0	314
596	596.0	379
597	597.0	327
598	598.0	302
599	599.0	331
600	600.0	320
601	601.0	357
602	602.0	356
603	603.0	354
604	604.0	307
605	605.0	308
606	606.0	316
607	607.0	314
608	608.0	293
609	609.0	305
610	610.0	337
611	611.0	306
612	612.0	299
613	613.0	299
614	614.0	317
615	615.0	292
616	616.0	289
617	617.0	310
618	618.0	290
619	619.0	309
620	620.0	293
621	621.0	299
622	622.0	347
623	623.0	305
624	624.0	293
625	625.0	282
626	626.0	274
627	627.0	288
628	628.0	272
629	629.0	284
630	630.0	264
631	631.0	262
632	632.0	283
633	633.0	300
634	634.0	300
635	635.0	258
636	636.0	314
637	637.0	298
638	638.0	283
639	639.0	266
640	640.0	285
641	641.0	228
642	642.0	258
643	643.0	239
644	644.0	290
645	645.0	273
646	646.0	260
647	647.0	244
648	648.0	246
649	649.0	251
650	650.0	278
651	651.0	279
652	652.0	249
653	653.0	272
654	654.0	275
655	655.0	258
656	656.0	250
657	657.0	247
658	658.0	269
659	659.0	236
660	660.0	233
661	661.0	219
662	662.0	242
663	663.0	236
664	664.0	256
665	665.0	241
666	666.0	264
667	667.0	255
668	668.0	237
669	669.0	249
670	670.0	228
671	671.0	234
672	672.0	247
673	673.0	213
674	674.0	246
675	675.0	221
676	676.0	217
677	677.0	231
678	678.0	228
679	679.0	204
680	680.0	228
681	681.0	227
682	682.0	204
683	683.0	225
684	684.0	243
685	685.0	224
686	686.0	214
687	687.0	224
688	688.0	235
689	689.0	209
690	690.0	209
691	691.0	195
692	692.0	241
693	693.0	214
694	694.0	186
695	695.0	223
696	696.0	210
697	697.0	206
698	698.0	205
699	699.0	234
700	700.0	211
701	701.0	221
702	702.0	212
703	703.0	211
704	704.0	193
705	705.0	212
706	706.0	193
707	707.0	205
708	708.0	187
709	709.0	210
710	710.0	208
711	711.0	169
712	712.0	209
713	713.0	196
714	714.0	169
715	715.0	195
716	716.0	192
717	717.0	175
718	718.0	186
719	719.0	231
720	720.0	197
721	721.0	179
722	722.0	189
723	723.0	180
724	724.0	180
725	725.0	180
726	726.0	180
727	727.0	196
728	728.0	193
729	729.0	177
730	730.0	175
731	731.0	183
732	732.0	187
733	733.0	163
734	734.0	161
735	735.0	184
736	736.0	162
737	737.0	172
738	738.0	169
739	739.0	161
740	740.0	157
741	741.0	149
742	742.0	160
743	743.0	180
744	744.0	154
745	745.0	191
746	746.0	166
747	747.0	188
748	748.0	184
749	749.0	148
750	750.0	174
751	751.0	180
752	752.0	162
753	753.0	166
754	754.0	165
755	755.0	175
756	756.0	166
757	757.0	190
758	758.0	185
759	759.0	159
760	760.0	139
761	761.0	166
762	762.0	167
763	763.0	141
764	764.0	131
765	765.0	150
766	766.0	160
767	767.0	176
768	768.0	151
769	769.0	151
770	770.0	166
771	771.0	144
772	772.0	145
773	773.0	162
774	774.0	130
775	775.0	153
776	776.0	137
777	777.0	133
778	778.0	149
779	779.0	163
780	780.0	148
781	781.0	130
782	782.0	156
783	783.0	123
784	784.0	150
785	785.0	155
786	786.0	135
787	787.0	133
788	788.0	145
789	789.0	151
790	790.0	137
791	791.0	131
792	792.0	128
793	793.0	133
794	794.0	128
795	795.0	129
796	796.0	135
797	797.0	142
798	798.0	129
799	799.0	141
800	800.0	130
801	801.0	143
802	802.0	155
803	803.0	145
804	804.0	123
805	805.0	126
806	806.0	134
807	807.0	120
808	808.0	119
809	809.0	128
810	810.0	118
811	811.0	122
812	812.0	129
813	813.0	128
814	814.0	132
815	815.0	124
816	816.0	120
817	817.0	117
818	818.0	124
819	819.0	124
820	820.0	136
821	821.0	115
822	822.0	113
823	823.0	142
