Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	750
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.73
Upper Discriminator:	1049
Lower Discriminator:	15
Calibration Coefficients:	1.0	1.0
Calibration Channels:	0	0
Calibration Energies:	0.0	0.0
Elapsed Real Time:	309.19
Elapsed Live Time:	308.37
Start Time:	March 18, 2024, 09:11:39
End Time:	March 18, 2024, 09:16:48
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
470	471.0	67
471	472.0	70
472	473.0	56
473	474.0	50
474	475.0	70
475	476.0	55
476	477.0	53
477	478.0	52
478	479.0	46
479	480.0	74
480	481.0	60
481	482.0	56
482	483.0	71
483	484.0	66
484	485.0	50
485	486.0	76
486	487.0	72
487	488.0	58
488	489.0	52
489	490.0	69
490	491.0	58
491	492.0	65
492	493.0	67
493	494.0	64
494	495.0	58
495	496.0	64
496	497.0	56
497	498.0	57
498	499.0	67
499	500.0	63
500	501.0	67
501	502.0	59
502	503.0	67
503	504.0	67
504	505.0	68
505	506.0	51
506	507.0	59
507	508.0	54
508	509.0	59
509	510.0	84
510	511.0	65
511	512.0	57
512	513.0	67
513	514.0	51
514	515.0	64
515	516.0	68
516	517.0	69
517	518.0	63
518	519.0	65
519	520.0	54
520	521.0	69
521	522.0	76
522	523.0	58
523	524.0	72
524	525.0	53
525	526.0	59
526	527.0	60
527	528.0	59
528	529.0	57
529	530.0	68
530	531.0	48
531	532.0	72
532	533.0	61
533	534.0	57
534	535.0	71
535	536.0	63
536	537.0	75
537	538.0	58
538	539.0	64
539	540.0	57
540	541.0	63
541	542.0	63
542	543.0	55
543	544.0	71
544	545.0	64
545	546.0	53
546	547.0	54
547	548.0	65
548	549.0	72
549	550.0	56
550	551.0	66
551	552.0	63
552	553.0	63
553	554.0	58
554	555.0	78
555	556.0	68
556	557.0	74
557	558.0	64
558	559.0	52
559	560.0	69
560	561.0	72
561	562.0	53
562	563.0	57
563	564.0	55
564	565.0	69
565	566.0	67
566	567.0	46
567	568.0	70
568	569.0	68
569	570.0	81
570	571.0	59
571	572.0	70
572	573.0	83
573	574.0	60
574	575.0	56
575	576.0	69
576	577.0	63
577	578.0	68
578	579.0	64
579	580.0	53
580	581.0	68
581	582.0	56
582	583.0	60
583	584.0	75
584	585.0	63
585	586.0	64
586	587.0	74
587	588.0	61
588	589.0	62
589	590.0	58
590	591.0	47
591	592.0	62
592	593.0	63
593	594.0	57
594	595.0	60
595	596.0	66
596	597.0	64
597	598.0	60
598	599.0	56
599	600.0	66
600	601.0	69
601	602.0	63
602	603.0	73
603	604.0	57
604	605.0	49
605	606.0	59
606	607.0	54
607	608.0	41
608	609.0	53
609	610.0	52
610	611.0	57
611	612.0	60
612	613.0	55
613	614.0	37
614	615.0	56
615	616.0	58
616	617.0	40
617	618.0	63
618	619.0	53
619	620.0	48
620	621.0	49
621	622.0	58
622	623.0	46
623	624.0	47
624	625.0	36
625	626.0	39
626	627.0	50
627	628.0	42
628	629.0	39
629	630.0	46
630	631.0	41
631	632.0	39
632	633.0	39
633	634.0	39
634	635.0	26
635	636.0	46
636	637.0	28
637	638.0	28
638	639.0	36
639	640.0	27
640	641.0	21
641	642.0	32
642	643.0	35
643	644.0	30
644	645.0	29
645	646.0	33
646	647.0	25
647	648.0	27
648	649.0	21
649	650.0	29
650	651.0	20
651	652.0	27
652	653.0	29
653	654.0	22
654	655.0	20
655	656.0	29
656	657.0	28
657	658.0	29
658	659.0	19
659	660.0	29
660	661.0	23
661	662.0	22
662	663.0	19
663	664.0	16
664	665.0	17
665	666.0	24
666	667.0	13
667	668.0	16
668	669.0	22
669	670.0	14
670	671.0	18
671	672.0	20
672	673.0	18
673	674.0	19
674	675.0	12
675	676.0	15
676	677.0	16
677	678.0	14
678	679.0	26
679	680.0	13
680	681.0	14
681	682.0	18
682	683.0	9
683	684.0	12
684	685.0	12
685	686.0	12
686	687.0	13
687	688.0	19
688	689.0	8
689	690.0	20
690	691.0	13
691	692.0	24
692	693.0	8
693	694.0	11
694	695.0	5
695	696.0	10
696	697.0	7
697	698.0	7
698	699.0	16
699	700.0	14
700	701.0	13
701	702.0	9
702	703.0	10
703	704.0	10
704	705.0	9
705	706.0	13
706	707.0	7
707	708.0	11
708	709.0	9
709	710.0	3
710	711.0	9
711	712.0	10
712	713.0	6
713	714.0	12
714	715.0	6
715	716.0	9
716	717.0	8
717	718.0	6
718	719.0	11
719	720.0	8
720	721.0	9
721	722.0	7
722	723.0	6
723	724.0	14
724	725.0	17
725	726.0	5
726	727.0	13
727	728.0	12
728	729.0	9
729	730.0	6
730	731.0	9
731	732.0	13
732	733.0	10
733	734.0	10
734	735.0	6
735	736.0	10
736	737.0	11
737	738.0	13
738	739.0	6
739	740.0	7
740	741.0	9
741	742.0	8
742	743.0	7
743	744.0	12
744	745.0	7
745	746.0	9
746	747.0	8
747	748.0	3
748	749.0	7
749	750.0	6
750	751.0	3
751	752.0	10
752	753.0	5
753	754.0	10
754	755.0	9
755	756.0	9
756	757.0	16
757	758.0	11
758	759.0	11
759	760.0	5
760	761.0	9
761	762.0	11
762	763.0	12
763	764.0	10
764	765.0	7
765	766.0	15
766	767.0	13
767	768.0	7
768	769.0	20
769	770.0	11
770	771.0	9
771	772.0	19
772	773.0	7
773	774.0	21
774	775.0	25
775	776.0	11
776	777.0	25
777	778.0	19
778	779.0	17
779	780.0	25
780	781.0	28
781	782.0	35
782	783.0	23
783	784.0	27
784	785.0	25
785	786.0	32
786	787.0	38
787	788.0	33
788	789.0	39
789	790.0	57
790	791.0	54
791	792.0	46
792	793.0	65
793	794.0	58
794	795.0	64
795	796.0	72
796	797.0	109
797	798.0	84
798	799.0	86
799	800.0	100
800	801.0	124
801	802.0	114
802	803.0	115
803	804.0	119
804	805.0	125
805	806.0	118
806	807.0	119
807	808.0	124
808	809.0	147
809	810.0	152
810	811.0	181
811	812.0	155
812	813.0	170
813	814.0	169
814	815.0	209
815	816.0	182
816	817.0	210
817	818.0	212
818	819.0	207
819	820.0	225
820	821.0	240
821	822.0	240
822	823.0	232
823	824.0	218
824	825.0	267
825	826.0	237
826	827.0	242
827	828.0	269
828	829.0	246
829	830.0	259
830	831.0	276
831	832.0	241
832	833.0	267
833	834.0	244
834	835.0	263
835	836.0	241
836	837.0	258
837	838.0	256
838	839.0	276
839	840.0	233
840	841.0	262
841	842.0	267
842	843.0	227
843	844.0	245
844	845.0	232
845	846.0	234
846	847.0	215
847	848.0	214
848	849.0	199
849	850.0	214
850	851.0	187
851	852.0	191
852	853.0	197
853	854.0	186
854	855.0	171
855	856.0	171
856	857.0	156
857	858.0	158
858	859.0	150
859	860.0	158
860	861.0	122
861	862.0	136
862	863.0	112
863	864.0	117
864	865.0	96
865	866.0	127
866	867.0	103
867	868.0	97
868	869.0	89
869	870.0	86
870	871.0	85
871	872.0	70
872	873.0	61
873	874.0	61
874	875.0	48
875	876.0	73
876	877.0	62
877	878.0	57
878	879.0	42
879	880.0	41
880	881.0	41
881	882.0	43
882	883.0	38
883	884.0	21
884	885.0	30
885	886.0	31
886	887.0	30
887	888.0	13
888	889.0	26
889	890.0	19
890	891.0	25
891	892.0	19
892	893.0	17
893	894.0	27
894	895.0	12
895	896.0	13
896	897.0	15
897	898.0	9
898	899.0	11
899	900.0	16
900	901.0	13
901	902.0	6
902	903.0	11
903	904.0	6
904	905.0	7
905	906.0	5
906	907.0	2
907	908.0	5
908	909.0	7
909	910.0	8
910	911.0	4
911	912.0	6
912	913.0	4
913	914.0	6
914	915.0	2
915	916.0	6
916	917.0	5
917	918.0	3
918	919.0	5
919	920.0	3
920	921.0	1
921	922.0	6
922	923.0	1
923	924.0	2
924	925.0	3
925	926.0	0
926	927.0	5
927	928.0	0
928	929.0	3
929	930.0	1
930	931.0	4
931	932.0	2
932	933.0	2
933	934.0	3
934	935.0	0
935	936.0	3
936	937.0	2
937	938.0	1
938	939.0	1
939	940.0	0
940	941.0	2
941	942.0	2
942	943.0	3
943	944.0	1
944	945.0	0
945	946.0	1
946	947.0	3
947	948.0	2
948	949.0	1
949	950.0	0
950	951.0	2
951	952.0	1
952	953.0	2
953	954.0	1
954	955.0	1
955	956.0	1
956	957.0	0
957	958.0	2
958	959.0	1
959	960.0	1
960	961.0	1
961	962.0	0
962	963.0	2
963	964.0	0
964	965.0	0
965	966.0	2
966	967.0	1
967	968.0	0
968	969.0	0
969	970.0	2
970	971.0	1
971	972.0	0
972	973.0	1
973	974.0	1
974	975.0	1
975	976.0	2
976	977.0	0
977	978.0	0
978	979.0	0
979	980.0	0
980	981.0	0
981	982.0	0
982	983.0	1
983	984.0	2
984	985.0	1
985	986.0	3
986	987.0	2
987	988.0	3
988	989.0	2
989	990.0	1
990	991.0	1
991	992.0	1
992	993.0	2
993	994.0	1
994	995.0	0
995	996.0	3
996	997.0	1
997	998.0	0
998	999.0	2
999	1000.0	0
1000	1001.0	1
1001	1002.0	0
1002	1003.0	1
1003	1004.0	1
1004	1005.0	0
1005	1006.0	1
1006	1007.0	0
1007	1008.0	1
1008	1009.0	2
1009	1010.0	1
1010	1011.0	0
1011	1012.0	0
1012	1013.0	0
1013	1014.0	0
1014	1015.0	0
1015	1016.0	0
1016	1017.0	0
1017	1018.0	2
1018	1019.0	0
1019	1020.0	0
1020	1021.0	0
1021	1022.0	2
1022	1023.0	0
1023	1024.0	0
